HomeTeam,AwayTeam,Year,HomeGoals,AwayGoals,TotalGoals
England,United States,1999,0,1,1
Cameroon,England,1999,1,0,1
Japan,United States,1999,3,1,4
Cameroon,United States,1999,1,3,4
Japan,England,1999,2,0,2
Zambia,Honduras,1999,4,3,7
Spain,Brazil,1999,2,0,2
Zambia,Spain,1999,0,0,0
Honduras,Brazil,1999,0,3,3
Zambia,Brazil,1999,1,5,6
Honduras,Spain,1999,1,3,4
Republic of Ireland,Nigeria,1999,1,1,2
Ghana,Costa Rica,1999,2,0,2
Paraguay,Uruguay,1999,2,2,4
Brazil,Croatia,1999,4,0,4
Japan,Portugal,1999,1,1,2
Spain,United States,1999,3,2,5
Mexico,Argentina,1999,4,1,5
Mali,Cameroon,1999,5,4,9
Uruguay,Brazil,1999,2,1,3
Mali,Nigeria,1999,3,1,4
Japan,Mexico,1999,2,0,2
Spain,Ghana,1999,1,1,2
Mali,Spain,1999,1,3,4
Uruguay,Japan,1999,1,2,3
Mali,Uruguay,1999,1,0,1
Spain,Japan,1999,4,0,4
Argentina,Finland,2001,2,0,2
Egypt,Jamaica,2001,0,0,0
Jamaica,Finland,2001,0,1,1
Egypt,Argentina,2001,1,7,8
Argentina,Jamaica,2001,5,1,6
Finland,Egypt,2001,1,2,3
Brazil,Germany,2001,2,0,2
Iraq,Canada,2001,3,0,3
Canada,Germany,2001,0,4,4
Iraq,Brazil,2001,1,6,7
Brazil,Canada,2001,2,0,2
Germany,Iraq,2001,3,1,4
United States,China,2001,0,1,1
Chile,Ukraine,2001,2,4,6
Ukraine,China,2001,0,0,0
Chile,United States,2001,1,4,5
United States,Ukraine,2001,1,1,2
China,Chile,2001,0,1,1
Angola,Czech Republic,2001,0,0,0
Japan,Australia,2001,0,2,2
Australia,Czech Republic,2001,0,3,3
Japan,Angola,2001,1,2,3
Angola,Australia,2001,1,1,2
Czech Republic,Japan,2001,0,3,3
Ecuador,Ethiopia,2001,2,1,3
Netherlands,Costa Rica,2001,1,3,4
Costa Rica,Ethiopia,2001,3,1,4
Ecuador,Netherlands,2001,1,1,2
Ecuador,Costa Rica,2001,0,1,1
Ethiopia,Netherlands,2001,2,3,5
Ghana,Paraguay,2001,2,1,3
France,Iran,2001,5,0,5
France,Paraguay,2001,2,2,4
Iran,Ghana,2001,0,1,1
Ghana,France,2001,0,0,0
Paraguay,Iran,2001,2,0,2
United States,Egypt,2001,0,2,2
France,Germany,2001,3,2,5
Argentina,China,2001,2,1,3
Brazil,Australia,2001,4,0,4
Ukraine,Paraguay,2001,1,2,3
Costa Rica,Czech Republic,2001,1,2,3
Angola,Netherlands,2001,0,2,2
Ghana,Ecuador,2001,1,0,1
Argentina,France,2001,3,1,4
Czech Republic,Paraguay,2001,0,1,1
Ghana,Brazil,2001,2,1,3
Netherlands,Egypt,2001,1,2,3
Egypt,Ghana,2001,0,2,2
Argentina,Paraguay,2001,5,0,5
Paraguay,Egypt,2001,0,1,1
Argentina,Ghana,2001,3,0,3
United Arab Emirates,Slovakia,2003,1,4,5
Panama,Burkina Faso,2003,0,1,1
Burkina Faso,Slovakia,2003,1,0,1
Panama,United Arab Emirates,2003,1,2,3
United Arab Emirates,Burkina Faso,2003,0,0,0
Slovakia,Panama,2003,1,0,1
Argentina,Spain,2003,2,1,3
Uzbekistan,Mali,2003,2,3,5
Mali,Spain,2003,0,2,2
Uzbekistan,Argentina,2003,1,2,3
Argentina,Mali,2003,3,1,4
Spain,Uzbekistan,2003,1,0,1
Brazil,Canada,2003,2,0,2
Czech Republic,Australia,2003,1,1,2
Australia,Canada,2003,2,1,3
Czech Republic,Brazil,2003,1,1,2
Brazil,Australia,2003,2,3,5
Canada,Czech Republic,2003,1,0,1
Colombia,Egypt,2003,0,0,0
Japan,England,2003,1,0,1
England,Egypt,2003,0,1,1
Japan,Colombia,2003,1,4,5
Colombia,England,2003,0,0,0
Egypt,Japan,2003,0,1,1
Saudi Arabia,Republic of Ireland,2003,1,2,3
Mexico,Ivory Coast,2003,1,2,3
Ivory Coast,Republic of Ireland,2003,2,2,4
Mexico,Saudi Arabia,2003,1,1,2
Saudi Arabia,Ivory Coast,2003,0,0,0
Republic of Ireland,Mexico,2003,2,0,2
Paraguay,United States,2003,1,3,4
South Korea,Germany,2003,2,0,2
Germany,United States,2003,3,1,4
South Korea,Paraguay,2003,0,1,1
Paraguay,Germany,2003,2,0,2
United States,South Korea,2003,2,0,2
Japan,South Korea,2003,2,1,3
Argentina,Egypt,2003,2,1,3
Burkina Faso,Canada,2003,0,1,1
United States,Ivory Coast,2003,2,0,2
Brazil,Slovakia,2003,2,1,3
Paraguay,Spain,2003,0,1,1
Australia,United Arab Emirates,2003,0,1,1
Republic of Ireland,Colombia,2003,2,3,5
Canada,Spain,2003,1,2,3
Colombia,United Arab Emirates,2003,1,0,1
United States,Argentina,2003,1,2,3
Japan,Brazil,2003,1,5,6
Brazil,Argentina,2003,1,0,1
Spain,Colombia,2003,1,0,1
Colombia,Argentina,2003,2,1,3
Spain,Brazil,2003,0,1,1
Benin,Australia,2005,1,1,2
Netherlands,Japan,2005,2,1,3
Japan,Benin,2005,1,1,2
Australia,Netherlands,2005,0,3,3
Japan,Australia,2005,1,1,2
Netherlands,Benin,2005,1,0,1
Turkey,China,2005,1,2,3
Ukraine,Panama,2005,3,1,4
China,Ukraine,2005,3,2,5
Panama,Turkey,2005,0,1,1
Turkey,Ukraine,2005,2,2,4
China,Panama,2005,4,1,5
Spain,Morocco,2005,3,1,4
Honduras,Chile,2005,0,7,7
Morocco,Honduras,2005,5,0,5
Chile,Spain,2005,0,7,7
Spain,Honduras,2005,3,0,3
Morocco,Chile,2005,1,0,1
Argentina,United States,2005,0,1,1
Germany,Egypt,2005,2,0,2
Egypt,Argentina,2005,0,2,2
United States,Germany,2005,0,0,0
Argentina,Germany,2005,1,0,1
United States,Egypt,2005,1,0,1
Colombia,Italy,2005,2,0,2
Syria,Canada,2005,1,1,2
Canada,Colombia,2005,0,2,2
Italy,Syria,2005,1,2,3
Italy,Canada,2005,4,1,5
Colombia,Syria,2005,2,0,2
Brazil,Nigeria,2005,0,0,0
South Korea,Switzerland,2005,1,2,3
Switzerland,Brazil,2005,0,1,1
Nigeria,South Korea,2005,1,2,3
Brazil,South Korea,2005,2,0,2
Nigeria,Switzerland,2005,3,0,3
United States,Italy,2005,1,3,4
China,Germany,2005,2,3,5
Morocco,Japan,2005,1,0,1
Brazil,Syria,2005,1,0,1
Nigeria,Ukraine,2005,1,0,1
Colombia,Argentina,2005,1,2,3
Netherlands,Chile,2005,3,0,3
Spain,Turkey,2005,3,0,3
Morocco,Italy,2005,2,2,4
Germany,Brazil,2005,1,2,3
Nigeria,Netherlands,2005,1,1,2
Argentina,Spain,2005,3,1,4
Brazil,Argentina,2005,1,2,3
Morocco,Nigeria,2005,0,3,3
Brazil,Morocco,2005,2,1,3
Argentina,Nigeria,2005,2,1,3
Canada,Chile,2007,0,3,3
Congo,Austria,2007,1,1,2
Austria,Canada,2007,1,0,1
Chile,Congo,2007,3,0,3
Canada,Congo,2007,0,2,2
Chile,Austria,2007,0,0,0
Jordan,Zambia,2007,1,1,2
Spain,Uruguay,2007,2,2,4
Uruguay,Jordan,2007,1,0,1
Zambia,Spain,2007,1,2,3
Spain,Jordan,2007,4,2,6
Uruguay,Zambia,2007,0,2,2
Portugal,New Zealand,2007,2,0,2
Gambia,Mexico,2007,0,3,3
New Zealand,Gambia,2007,0,1,1
Mexico,Portugal,2007,2,1,3
Portugal,Gambia,2007,1,2,3
New Zealand,Mexico,2007,1,2,3
Poland,Brazil,2007,1,0,1
South Korea,United States,2007,1,1,2
United States,Poland,2007,6,1,7
Brazil,South Korea,2007,3,2,5
Brazil,United States,2007,1,2,3
Poland,South Korea,2007,1,1,2
North Korea,Panama,2007,0,0,0
Argentina,Czech Republic,2007,0,0,0
Czech Republic,North Korea,2007,2,2,4
Panama,Argentina,2007,0,6,6
