Home,Score,Away,year
Uruguay ,1–1 (a.e.t.), France,1997
Argentina ,2–0, Brazil,1997
Spain ,0–1, Republic of Ireland,1997
Japan ,1–2 (a.e.t.), Ghana,1997
Republic of Ireland ,0–1, Argentina,1997
Uruguay ,3–2 (a.e.t.), Ghana,1997
Ghana ,1–2, Republic of Ireland,1997
Uruguay ,1–2, Argentina,1997
Nigeria ,1–1, Costa Rica,1999
Germany ,4–0, Paraguay,1999
Nigeria ,2–0, Germany,1999
Costa Rica ,1–3, Paraguay,1999
Nigeria ,1–2, Paraguay,1999
Costa Rica ,2–1, Germany,1999
Ghana ,1–1, Croatia,1999
Argentina ,1–0, Kazakhstan,1999
Ghana ,1–0, Argentina,1999
Croatia ,5–1, Kazakhstan,1999
Ghana ,3–0, Kazakhstan,1999
Croatia ,0–0, Argentina,1999
Australia ,3–1, Saudi Arabia,1999
Mexico ,1–0, Republic of Ireland,1999
Australia ,1–3, Mexico,1999
Saudi Arabia ,0–2, Republic of Ireland,1999
Australia ,0–4, Republic of Ireland,1999
Saudi Arabia ,1–1, Mexico,1999
Uruguay ,1–2, Mali,1999
South Korea ,1–3, Portugal,1999
Uruguay ,1–0, South Korea,1999
Mali ,2–1, Portugal,1999
Uruguay ,0–0, Portugal,1999
Mali ,2–4, South Korea,1999
Cameroon ,2–1, Japan,1999
England ,0–1, United States,1999
Cameroon ,1–0, England,1999
Japan ,3–1, United States,1999
Cameroon ,1–3, United States,1999
Japan ,2–0, England,1999
Zambia ,4–3, Honduras,1999
Spain ,2–0, Brazil,1999
Zambia ,0–0, Spain,1999
Honduras ,0–3, Brazil,1999
Zambia ,1–5, Brazil,1999
Honduras ,1–3, Spain,1999
Republic of Ireland ,1–1 (a.e.t.), Nigeria,1999
Ghana ,2–0, Costa Rica,1999
Paraguay ,2–2 (a.e.t.), Uruguay,1999
Brazil ,4–0, Croatia,1999
Japan ,1–1 (a.e.t.), Portugal,1999
Spain ,3–2, United States,1999
Mexico ,4–1, Argentina,1999
Mali ,5–4 (a.e.t.), Cameroon,1999
Uruguay ,2–1, Brazil,1999
Mali ,3–1, Nigeria,1999
Japan ,2–0, Mexico,1999
Spain ,1–1 (a.e.t.), Ghana,1999
Mali ,1–3, Spain,1999
Uruguay ,1–2, Japan,1999
Mali ,1–0, Uruguay,1999
Spain ,4–0, Japan,1999
Argentina ,2–0, Finland,2001
Egypt ,0–0, Jamaica,2001
Jamaica ,0–1, Finland,2001
Egypt ,1–7, Argentina,2001
Argentina ,5–1, Jamaica,2001
Finland ,1–2, Egypt,2001
Brazil ,2–0, Germany,2001
Iraq ,3–0, Canada,2001
Canada ,0–4, Germany,2001
Iraq ,1–6, Brazil,2001
Brazil ,2–0, Canada,2001
Germany ,3–1, Iraq,2001
United States ,0–1, China,2001
Chile ,2–4, Ukraine,2001
Ukraine ,0–0, China,2001
Chile ,1–4, United States,2001
United States ,1–1, Ukraine,2001
China ,0–1, Chile,2001
Angola ,0–0, Czech Republic,2001
Japan ,0–2, Australia,2001
Australia ,0–3, Czech Republic,2001
Japan ,1–2, Angola,2001
Angola ,1–1, Australia,2001
Czech Republic ,0–3, Japan,2001
Ecuador ,2–1, Ethiopia,2001
Netherlands ,1–3, Costa Rica,2001
Costa Rica ,3–1, Ethiopia,2001
Ecuador ,1–1, Netherlands,2001
Ecuador ,0–1, Costa Rica,2001
Ethiopia ,2–3, Netherlands,2001
Ghana ,2–1, Paraguay,2001
France ,5–0, Iran,2001
France ,2–2, Paraguay,2001
Iran ,0–1, Ghana,2001
Ghana ,0–0, France,2001
Paraguay ,2–0, Iran,2001
United States ,0–2, Egypt,2001
France ,3–2, Germany,2001
Argentina ,2–1, China,2001
Brazil ,4–0, Australia,2001
Ukraine ,1–2, Paraguay,2001
Costa Rica ,1–2, Czech Republic,2001
Angola ,0–2, Netherlands,2001
Ghana ,1–0, Ecuador,2001
Argentina ,3–1, France,2001
Czech Republic ,0–1, Paraguay,2001
Ghana ,2–1 (a.e.t.), Brazil,2001
Netherlands ,1–2, Egypt,2001
Egypt ,0–2, Ghana,2001
Argentina ,5–0, Paraguay,2001
Paraguay ,0–1, Egypt,2001
Argentina ,3–0, Ghana,2001
United Arab Emirates ,1–4, Slovakia,2003
Panama ,0–1, Burkina Faso,2003
Burkina Faso ,1–0, Slovakia,2003
Panama ,1–2, United Arab Emirates,2003
United Arab Emirates ,0–0, Burkina Faso,2003
Slovakia ,1–0, Panama,2003
Argentina ,2–1, Spain,2003
Uzbekistan ,2–3, Mali,2003
Mali ,0–2, Spain,2003
Uzbekistan ,1–2, Argentina,2003
Argentina ,3–1, Mali,2003
Spain ,1–0, Uzbekistan,2003
Brazil ,2–0, Canada,2003
Czech Republic ,1–1, Australia,2003
Australia ,2–1, Canada,2003
Czech Republic ,1–1, Brazil,2003
Brazil ,2–3, Australia,2003
Canada ,1–0, Czech Republic,2003
Colombia ,0–0, Egypt,2003
Japan ,1–0, England,2003
England ,0–1, Egypt,2003
Japan ,1–4, Colombia,2003
Colombia ,0–0, England,2003
Egypt ,0–1, Japan,2003
Saudi Arabia ,1–2, Republic of Ireland,2003
Mexico ,1–2, Ivory Coast,2003
Ivory Coast ,2–2, Republic of Ireland,2003
Mexico ,1–1, Saudi Arabia,2003
Saudi Arabia ,0–0, Ivory Coast,2003
Republic of Ireland ,2–0, Mexico,2003
Paraguay ,1–3, United States,2003
South Korea ,2–0, Germany,2003
Germany ,3–1, United States,2003
South Korea ,0–1, Paraguay,2003
Paraguay ,2–0, Germany,2003
United States ,2–0, South Korea,2003
Japan ,2–1 (a.e.t.), South Korea,2003
Argentina ,2–1 (a.e.t.), Egypt,2003
Burkina Faso ,0–1, Canada,2003
United States ,2–0, Ivory Coast,2003
Brazil ,2–1 (a.e.t.), Slovakia,2003
Paraguay ,0–1, Spain,2003
